"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","economie.gouv.fr/141.101.90.97","443","INFO","HTTP","",""
"pre_128cipher","economie.gouv.fr/141.101.90.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","economie.gouv.fr/141.101.90.97","443","OK","not offered","",""
"SSLv3","economie.gouv.fr/141.101.90.97","443","OK","not offered","",""
"TLS1","economie.gouv.fr/141.101.90.97","443","INFO","not offered","",""
"TLS1_1","economie.gouv.fr/141.101.90.97","443","INFO","not offered","",""
"TLS1_2","economie.gouv.fr/141.101.90.97","443","OK","offered","",""
"TLS1_3","economie.gouv.fr/141.101.90.97","443","OK","offered with final","",""
"ALPN_HTTP2","economie.gouv.fr/141.101.90.97","443","OK","h2","",""
"ALPN","economie.gouv.fr/141.101.90.97","443","INFO","http/1.1","",""
"cipherlist_NULL","economie.gouv.fr/141.101.90.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","economie.gouv.fr/141.101.90.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","economie.gouv.fr/141.101.90.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","economie.gouv.fr/141.101.90.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","economie.gouv.fr/141.101.90.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","economie.gouv.fr/141.101.90.97","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","economie.gouv.fr/141.101.90.97","443","OK","offered","",""
"cipherlist_STRONG_FS","economie.gouv.fr/141.101.90.97","443","OK","offered","",""
"cipher_order-tls1_2","economie.gouv.fr/141.101.90.97","443","OK","server","",""
"cipherorder_TLSv1_2","economie.gouv.fr/141.101.90.97","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","economie.gouv.fr/141.101.90.97","443","OK","server -- TLS 1.3 client determined","",""
"FS","economie.gouv.fr/141.101.90.97","443","OK","offered","",""
