"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","etalab.gouv.fr/147.135.136.56","443","INFO","HTTP","",""
"pre_128cipher","etalab.gouv.fr/147.135.136.56","443","INFO","No 128 cipher limit bug","",""
"SSLv2","etalab.gouv.fr/147.135.136.56","443","OK","not offered","",""
"SSLv3","etalab.gouv.fr/147.135.136.56","443","OK","not offered","",""
"TLS1","etalab.gouv.fr/147.135.136.56","443","INFO","not offered","",""
"TLS1_1","etalab.gouv.fr/147.135.136.56","443","INFO","not offered","",""
"TLS1_2","etalab.gouv.fr/147.135.136.56","443","OK","offered","",""
"TLS1_3","etalab.gouv.fr/147.135.136.56","443","OK","offered with final","",""
"ALPN_HTTP2","etalab.gouv.fr/147.135.136.56","443","OK","h2","",""
"ALPN","etalab.gouv.fr/147.135.136.56","443","INFO","http/1.1","",""
"cipherlist_NULL","etalab.gouv.fr/147.135.136.56","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","etalab.gouv.fr/147.135.136.56","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","etalab.gouv.fr/147.135.136.56","443","OK","not offered","","CWE-327"
"cipherlist_LOW","etalab.gouv.fr/147.135.136.56","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","etalab.gouv.fr/147.135.136.56","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","etalab.gouv.fr/147.135.136.56","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","etalab.gouv.fr/147.135.136.56","443","INFO","not offered","",""
"cipherlist_STRONG_FS","etalab.gouv.fr/147.135.136.56","443","OK","offered","",""
"cipher_order-tls1_2","etalab.gouv.fr/147.135.136.56","443","OK","server","",""
"cipherorder_TLSv1_2","etalab.gouv.fr/147.135.136.56","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","etalab.gouv.fr/147.135.136.56","443","OK","server","",""
"FS","etalab.gouv.fr/147.135.136.56","443","OK","offered","",""
"FS_ciphers","etalab.gouv.fr/147.135.136.56","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","etalab.gouv.fr/147.135.136.56","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","etalab.gouv.fr/147.135.136.56","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","etalab.gouv.fr/147.135.136.56","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","etalab.gouv.fr/147.135.136.56","443","INFO","yes","",""
"sessionresumption_ticket","etalab.gouv.fr/147.135.136.56","443","INFO","supported","",""
"sessionresumption_ID","etalab.gouv.fr/147.135.136.56","443","INFO","supported","",""
"TLS_timestamp","etalab.gouv.fr/147.135.136.56","443","INFO","random","",""
"certificate_compression","etalab.gouv.fr/147.135.136.56","443","INFO","none","",""
"clientAuth","etalab.gouv.fr/147.135.136.56","443","INFO","none","",""
"cert_numbers","etalab.gouv.fr/147.135.136.56","443","INFO","1","",""
"cert_signatureAlgorithm","etalab.gouv.fr/147.135.136.56","443","OK","SHA256 with RSA","",""
"cert_keySize","etalab.gouv.fr/147.135.136.56","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","etalab.gouv.fr/147.135.136.56","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","etalab.gouv.fr/147.135.136.56","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","etalab.gouv.fr/147.135.136.56","443","INFO","041478041492776A188EA0BEDAC87A80A379","",""
"cert_serialNumberLen","etalab.gouv.fr/147.135.136.56","443","INFO","18","",""
"cert_fingerprintSHA1","etalab.gouv.fr/147.135.136.56","443","INFO","04FE5A429D3DF1C4A95D8F07B4C2F1F6F2949B38","",""
"cert_fingerprintSHA256","etalab.gouv.fr/147.135.136.56","443","INFO","A6730591F2EF70B9158385417B86C5C2277E775A957BE53BFBB6881E93EE178F","",""
"cert","etalab.gouv.fr/147.135.136.56","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFTCCA/2gAwIBAgISBBR4BBSSd2oYjqC+2sh6gKN5MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAyMjgxNTU3NTZaFw0yNDA1MjgxNTU3NTVaMBkxFzAVBgNVBAMTDmV0YWxhYi5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEArS0G0wjQrEN35+R4v3Y8LNSmgXqMJjKyn2I1EftIZDpZXEC4HqjB3z37KBgp9HPcH+/IeNBj0OcdLxWnVvYNr6VHnC88xeuf/HBp19gO+1PQVKFE7qqt/zeh5C2YuOUkW0R+tskr7XgqjVXfTISbzBz6rPMWNBwVNCj78kJZ/bSH6K5pnTkAMRII6JZLXFtDB8TMxwcbZBxlrtc7jGhkCu7AJxvRBSC7/0FIeRAeGEWKx8gOkHD2FlKytcLjd6GBDjV7GsOZ6IcGY9HBynyQJkbNVxAK0tl2ZK2/RKYkyKa4fICKmxeQr54hlYSm9z5sWPIeirEaZiWEcHHL3g/SfwIDAQABo4ICPDCCAjgwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQyAxXbevb2IOnjkgfrDVKOsXSvkDAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzBFBgNVHREEPjA8gg5ldGFsYWIuZ291di5mcoIWcHJlcHJvZC5ldGFsYWIuZ291di5mcoISd3d3LmV0YWxhYi5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAouK/1h7eLy8HoNZObTen3GVDsMa1LqLat4r4mm31F9gAAAGN8Ka/0gAABAMARzBFAiEA0hwrbu7Qn79udd0EtwIPUBP6GVWhgbgK5yTVNiVzW0cCIHpmOmDNFMoy7y2dptyYk7TOVsveDDZxRPHVadPDTblNAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGN8KbALAAABAMARzBFAiBMsqE88+38Bf8Ia5GxSJmvXh82zhFks0CPivhTusbGiAIhAKPt3v/3BReVKkhXTPpa4hobjsQto1caO/Brb/jOKbNwMA0GCSqGSIb3DQEBCwUAA4IBAQB/Pg/y/nYXkycV/oRkLs0hijwqlRAcAUHIEuuJ1aAZyVTZYI7NVFzRnq51CQxU7JE0GYs2B3XjNNn6BoiItCXscAtWOL/Pvpr7kbC8zCbLZDVoxaW6+CMAgXpY4WYBOZpWK2vc6i2M11IQWX8acPP2DLHTsX/hZvjEilmRoPmIZ3hcv2WmokqupbctASmiLZpwqjq0L3RDG++zpPIZ43ACSTuhQ4t6+RD5VXkrIF+csCseuDLiGYpjJpToajFa+gi6WWWlZVZ2ow4O5Y0d3Ehf+aYkgO+7IgC/s94ZBDeRuV9J3R7EFnT3gCutXsYNAZWXFxrYH7CEKyl5tnJ7MjFj\n-----END CERTIFICATE-----","",""
"cert_commonName","etalab.gouv.fr/147.135.136.56","443","OK","etalab.gouv.fr","",""
"cert_commonName_wo_SNI","etalab.gouv.fr/147.135.136.56","443","INFO","etalab.gouv.fr","",""
"cert_subjectAltName","etalab.gouv.fr/147.135.136.56","443","INFO","etalab.gouv.fr preprod.etalab.gouv.fr www.etalab.gouv.fr","",""
"cert_trust","etalab.gouv.fr/147.135.136.56","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","etalab.gouv.fr/147.135.136.56","443","OK","passed.","",""
"cert_certificatePolicies_EV","etalab.gouv.fr/147.135.136.56","443","INFO","no","",""
"cert_expirationStatus","etalab.gouv.fr/147.135.136.56","443","OK","77 >= 30 days","",""
"cert_notBefore","etalab.gouv.fr/147.135.136.56","443","INFO","2024-02-28 15:57","",""
"cert_notAfter","etalab.gouv.fr/147.135.136.56","443","OK","2024-05-28 15:57","",""
"cert_extlifeSpan","etalab.gouv.fr/147.135.136.56","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","etalab.gouv.fr/147.135.136.56","443","INFO","not present","",""
"cert_crlDistributionPoints","etalab.gouv.fr/147.135.136.56","443","INFO","--","",""
"cert_ocspURL","etalab.gouv.fr/147.135.136.56","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","etalab.gouv.fr/147.135.136.56","443","OK","offered","",""
"cert_ocspRevoked","etalab.gouv.fr/147.135.136.56","443","OK","not revoked","",""
"cert_mustStapleExtension","etalab.gouv.fr/147.135.136.56","443","INFO","--","",""
"DNS_CAArecord","etalab.gouv.fr/147.135.136.56","443","LOW","--","",""
"certificate_transparency","etalab.gouv.fr/147.135.136.56","443","OK","yes (certificate extension)","",""
"certs_countServer","etalab.gouv.fr/147.135.136.56","443","INFO","2","",""
"certs_list_ordering_problem","etalab.gouv.fr/147.135.136.56","443","INFO","no","",""
"cert_caIssuers","etalab.gouv.fr/147.135.136.56","443","INFO","R3 (Let's Encrypt from US)","",""
