"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","europe-en-france.gouv.fr/46.105.190.177","443","INFO","HTTP","",""
"pre_128cipher","europe-en-france.gouv.fr/46.105.190.177","443","INFO","No 128 cipher limit bug","",""
"SSLv2","europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","",""
"SSLv3","europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","",""
"TLS1","europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","",""
"TLS1_1","europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","",""
"TLS1_2","europe-en-france.gouv.fr/46.105.190.177","443","OK","offered","",""
"TLS1_3","europe-en-france.gouv.fr/46.105.190.177","443","OK","offered with final","",""
"ALPN_HTTP2","europe-en-france.gouv.fr/46.105.190.177","443","OK","h2","",""
"ALPN","europe-en-france.gouv.fr/46.105.190.177","443","INFO","http/1.1","",""
"cipherlist_NULL","europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_LOW","europe-en-france.gouv.fr/46.105.190.177","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","europe-en-france.gouv.fr/46.105.190.177","443","INFO","not offered","",""
"cipherlist_STRONG_FS","europe-en-france.gouv.fr/46.105.190.177","443","OK","offered","",""
"cipher_order-tls1_2","europe-en-france.gouv.fr/46.105.190.177","443","OK","server","",""
"cipherorder_TLSv1_2","europe-en-france.gouv.fr/46.105.190.177","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","europe-en-france.gouv.fr/46.105.190.177","443","OK","server","",""
"FS","europe-en-france.gouv.fr/46.105.190.177","443","OK","offered","",""
"FS_ciphers","europe-en-france.gouv.fr/46.105.190.177","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","europe-en-france.gouv.fr/46.105.190.177","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","europe-en-france.gouv.fr/46.105.190.177","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","europe-en-france.gouv.fr/46.105.190.177","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","europe-en-france.gouv.fr/46.105.190.177","443","INFO","yes","",""
"sessionresumption_ticket","europe-en-france.gouv.fr/46.105.190.177","443","INFO","not supported","",""
