"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","HTTP","",""
"pre_128cipher","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","No 128 cipher limit bug","",""
"SSLv2","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","not offered","",""
"SSLv3","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","not offered","",""
"TLS1","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not offered","",""
"TLS1_1","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not offered","",""
"TLS1_2","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","offered","",""
"TLS1_3","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","offered with final","",""
"ALPN_HTTP2","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","h2","",""
"ALPN","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","http/1.1","",""
"cipherlist_NULL","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","not offered","","CWE-327"
"cipherlist_LOW","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not offered","",""
"cipherlist_STRONG_FS","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","offered","",""
"cipher_order-tls1_2","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","server","",""
"cipherorder_TLSv1_2","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","server -- TLS 1.3 client determined","",""
"FS","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","offered","",""
"FS_ciphers","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","prime256v1","",""
"TLS_extensions","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","yes","",""
"sessionresumption_ticket","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not supported","",""
"sessionresumption_ID","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not supported","",""
"TLS_timestamp","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","random","",""
"certificate_compression","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","none","",""
"clientAuth","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","none","",""
"cert_numbers","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","1","",""
"cert_signatureAlgorithm","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","SHA256 with RSA","",""
"cert_keySize","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","Digital Signature, Key Agreement","",""
"cert_extKeyUsage","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","03ED167A2659DA278E7B21CDBEB33E32","",""
"cert_serialNumberLen","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","16","",""
"cert_fingerprintSHA1","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","B08EE9A5C3D9B5C1FFB6517ADF98CF2D2818419B","",""
"cert_fingerprintSHA256","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","AA4D46AE959D1931CE8DDC9EB03CC053C05EDB943D04AECC9615B672B607A441","",""
"cert","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGGDCCBQCgAwIBAgIQA+0WeiZZ2ieOeyHNvrM+MjANBgkqhkiG9w0BAQsFADBZMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMTMwMQYDVQQDEypEaWdpQ2VydCBHbG9iYWwgRzIgVExTIFJTQSBTSEEyNTYgMjAyMCBDQTEwHhcNMjQwMTE1MDAwMDAwWhcNMjUwMjE0MjM1OTU5WjBpMQswCQYDVQQGEwJVUzETMBEGA1UECBMKQ2FsaWZvcm5pYTEWMBQGA1UEBxMNU2FuIEZyYW5jaXNjbzEVMBMGA1UEChMMTmV0bGlmeSwgSW5jMRYwFAYDVQQDDA0qLm5ldGxpZnkuYXBwMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEZMOrg6Gfm/f/5QC/Qa7N0c0cXY1NYvsO5JAzEy21RZHmeiagXgGuJYT71YgjfhN+qdOl3mktkWnDEoZalAJCKKOCA5UwggORMB8GA1UdIwQYMBaAFHSFgMBmx9833s+9KTeqAx2+7c0XMB0GA1UdDgQWBBQ+ar5uJawSEKu+8eunqbxtiH1UjzAlBgNVHREEHjAcgg0qLm5ldGxpZnkuYXBwggtuZXRsaWZ5LmFwcDA+BgNVHSAENzA1MDMGBmeBDAECAjApMCcGCCsGAQUFBwIBFhtodHRwOi8vd3d3LmRpZ2ljZXJ0LmNvbS9DUFMwDgYDVR0PAQH/BAQDAgOIMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjCBnwYDVR0fBIGXMIGUMEigRqBEhkJodHRwOi8vY3JsMy5kaWdpY2VydC5jb20vRGlnaUNlcnRHbG9iYWxHMlRMU1JTQVNIQTI1NjIwMjBDQTEtMS5jcmwwSKBGoESGQmh0dHA6Ly9jcmw0LmRpZ2ljZXJ0LmNvbS9EaWdpQ2VydEdsb2JhbEcyVExTUlNBU0hBMjU2MjAyMENBMS0xLmNybDCBhwYIKwYBBQUHAQEEezB5MCQGCCsGAQUFBzABhhhodHRwOi8vb2NzcC5kaWdpY2VydC5jb20wUQYIKwYBBQUHMAKGRWh0dHA6Ly9jYWNlcnRzLmRpZ2ljZXJ0LmNvbS9EaWdpQ2VydEdsb2JhbEcyVExTUlNBU0hBMjU2MjAyMENBMS0xLmNydDAMBgNVHRMBAf8EAjAAMIIBfQYKKwYBBAHWeQIEAgSCAW0EggFpAWcAdQBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAY0Mu8dlAAAEAwBGMEQCIB7FL3xLGY4wUvKb3l9Q+ZjOP1pLEC2L4XpJ+nwXC+fHAiBp1IcuRkk+Ig6W5pq8iyJoPWJ4ejltwvH/crTsyrtz0AB1AH1ZHhLheCp7HGFnfF79+NCHXBSgTpWeuQMv2Q6MLnm4AAABjQy7x2cAAAQDAEYwRAIgFGLuWY42+ip1EhACdAOTmmfTgJVNdcwuPv0k4xhDo88CICAKpid4QSG5gPsgYz5Lb6R1FQKlXNK0OGQzINQ81UY3AHcA5tIxY0B3jMEQQQbXcbnOwdJA9paEhvu6hzId/R43jlAAAAGNDLvHkQAABAMASDBGAiEAhp9eEk3bj4ys1YyA+OKF9jssIbHun/xp9yoxNyNc7dICIQCzCxOD1tV6vnMuxnupZwo6D84IVaDd5gxQGugX6w1ODDANBgkqhkiG9w0BAQsFAAOCAQEAhRBlqiMZRKCFcOwLCf/HyQY+2Bn2FKrzxbuh4e4c51FpoMYWw7/o5XWN9dicwSmmlCZq5iatn7OGTqiKkzwKaqfZtZJWUEOPfjDE3NJgJvX6hEomG2faOMSqORXmRcIFtCzN7WyW/l6Sy/XBitXCxXVZIID1y3WgIeVAKSPjgM0Jiaj2YLD2dY61byzwQapiWQSDnEfJmwQQsJJDBMGVZ0DOyunP9h7YU9RqysH2Hd94DiBGvI46/vFaqT5oZgrWDbKwM0/U5c0SsOCj1StQOImrMpcPpoJK2KH3eASXFUQFgIQv6+eBnQAu+jq7o+c7Iqtszs5lrZqkDGOzItaqhw==\n-----END CERTIFICATE-----","",""
"cert_commonName","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","*.netlify.app","",""
"cert_commonName_wo_SNI","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","*.netlify.app","",""
"cert_subjectAltName","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","*.netlify.app netlify.app","",""
"cert_trust","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_trust_wildcard","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","passed.","",""
"cert_certificatePolicies_EV","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","no","",""
"cert_expirationStatus","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","342 >= 60 days","",""
"cert_notBefore","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","2024-01-15 00:00","",""
"cert_notAfter","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","2025-02-14 23:59","",""
"cert_extlifeSpan","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","not present","",""
"cert_crlDistributionPoints","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","http://crl3.digicert.com/DigiCertGlobalG2TLSRSASHA2562020CA1-1.crl http://crl4.digicert.com/DigiCertGlobalG2TLSRSASHA2562020CA1-1.crl","",""
"cert_ocspURL","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","http://ocsp.digicert.com","",""
"OCSP_stapling","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","LOW","not offered","",""
"cert_mustStapleExtension","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","--","",""
"DNS_CAArecord","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","iodef=mailto:security@netlify.com, issue=digicert.com;account=2d83e9ac9b6776c3f215150f6ebceea8cefe3bc2e1fb5efffb1d71e200575226","",""
"certificate_transparency","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","OK","yes (certificate extension)","",""
"certs_countServer","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","2","",""
"certs_list_ordering_problem","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","no","",""
"cert_caIssuers","feat-analytics--ds-gouv.netlify.app/52.9.166.110","443","INFO","DigiCert Global G2 TLS RSA SHA256 2020 CA1 (DigiCert Inc from US)","",""
